Rank,Who,Number of participations,Score,Level
638,inaFSTream,5,2264,Master
639,Pakalns,41,2263,Master
640,cjtoribio,155,2262,Master
640,jonathanasdf,28,2262,Master
640,Forestryks,49,2262,Master
643,pperm,94,2261,Master
643,Mazam,5,2261,Master
645,Philae,33,2260,Master
645,omidazadi,73,2260,Master
645,spiderg,21,2260,Master
645,Starlit,29,2260,Master
645,baggins,5,2260,Master
645,wbyyui,12,2260,Master
645,Dedicatus545,35,2260,Master
645,AlesyaIvanova,29,2260,Master
653,maksay,152,2259,Master
654,Wearry,8,2258,Master
655,TheDonald,3,2257,Master
655,binsjl,26,2257,Master
657,memopaper,38,2256,Master
657,alex_Harry,56,2256,Master
657,YaKon4ick,92,2256,Master
657,betrue12,15,2256,Master
661,Ronnie007,124,2255,Master
661,Damon,74,2255,Master
661,pllk,85,2255,Master
661,mtsd,30,2255,Master
661,DOlaBMOon,10,2255,Master
661,kopricky,29,2255,Master
667,scorpion,73,2254,Master
667,q234rty,29,2254,Master
667,_yesname,5,2254,Master
667,liji,16,2254,Master
667,djq_fpc,4,2254,Master
672,djdolls,28,2253,Master
672,WCG,50,2253,Master
672,greencis,78,2253,Master
672,fengsuiyan,35,2253,Master
672,DmitryBelikov,87,2253,Master
672,SD_le,8,2253,Master
672,Lawali,66,2253,Master
679,Michael,35,2252,Master
679,veschii_nevstrui,96,2252,Master
679,Holidin,46,2252,Master
679,haj_lemon,9,2252,Master
683,BSBandme,140,2251,Master
683,LYJabc,3,2251,Master
683,anpans,43,2251,Master
686,Vedensky,38,2250,Master
686,VladaMG98,95,2250,Master
686,valkyrie,64,2250,Master
686,-eidolon-,16,2250,Master
686,E.Space,11,2250,Master
686,Shayan.P,60,2250,Master
686,Giver,17,2250,Master
693,Kaildls,48,2249,Master
693,gs18115,27,2249,Master
695,guille,196,2248,Master
695,sunsiyu,12,2248,Master
695,emofunc,34,2248,Master
695,rndspec,5,2248,Master
695,kimnait,6,2248,Master
695,Martin53,17,2248,Master
701,adamczh1,71,2247,Master
702,lqs2015,39,2246,Master
703,SoMuchDrama,83,2245,Master
703,Lixoskywalker,70,2245,Master
703,thai9cdb1,29,2245,Master
703,abcdeedcba,16,2245,Master
703,lyx_cjz,4,2245,Master
703,gzy_cjoier,10,2245,Master
703,suchang,11,2245,Master
710,altruist,91,2244,Master
711,karupayun,17,2243,Master
711,ThePontiacBandit,69,2243,Master
711,MohanLau,40,2243,Master
711,Eliden,17,2243,Master
711,cwystc_killer_killer_1,3,2243,Master
711,Vexoben,14,2243,Master
717,Edvard,137,2242,Master
717,IMAN_GH,164,2242,Master
717,NurlashKO,39,2242,Master
717,Aeon,109,2242,Master
717,monster,64,2242,Master
717,Diuven,19,2242,Master
723,RedNextCentury,162,2241,Master
723,F_Z,43,2241,Master
723,lis,33,2241,Master
723,nonsequitur,24,2241,Master
723,NephrenRuq,8,2241,Master
728,yefllower,54,2240,Master
728,robinyu,46,2240,Master
728,waItz7l9,5,2240,Master
728,SendThemToHell,27,2240,Master
732,Zarxdy34,26,2239,Master
732,miska924,26,2239,Master
732,AFO_OFA,8,2239,Master
732,g13,9,2239,Master
736,malcolm,137,2238,Master
736,bogdan10bos,44,2238,Master
736,SaSa,37,2238,Master
739,glebushka98,41,2237,Master
739,JSZX11556,25,2237,Master
739,Yongaron,29,2237,Master
742,Kuzey,86,2236,Master
742,shpsi,41,2236,Master
742,KostasKostil,12,2236,Master
745,Inner_x_Peace,18,2235,Master
745,mohammedehab2002,52,2235,Master
745,paulll,44,2235,Master
745,Anai,26,2235,Master
745,Kataoka_Yuuki,3,2235,Master
750,BenZ,26,2234,Master
750,misael,70,2234,Master
750,papa3,55,2234,Master
750,Minnakhmetov,77,2234,Master
750,negiizhao,17,2234,Master
750,Sooke,19,2234,Master
756,witua,146,2233,Master
756,Franklyn_W,40,2233,Master
756,yao11617,34,2233,Master
